博文内容,识别结果,id
",305497
辉瑞特效药paxlovid ，因近期确诊病人数较多，药物消耗量较大，一药难求 希望我能帮到有需要的你#辉瑞新冠特效药网售放开##新冠特效药##新冠[超话]# 深圳·深圳宝安机场 ,"|0|0|0|0|0|
",813773
#香港通关消息# 据悉，通关初期只开落马洲线，由于罗湖在改善工程范围内，不包括在内。#真实的香港[超话]# ,"|0|0|0|1|0|
",519430
香港与内地通关在即，最快1月8日可开始有序通行。有消息指，落马洲会是第一批开通的口岸，西九高铁站、罗湖口岸未必赶及在通关首日开放。 ,"|0|0|0|1|0|
",519494
去偷我照片的人那里偷了下我的照片[doge] ,"|0|0|0|0|0|
",567499
#通关# 「據悉#香港政府# 傾向先開通#落马洲# ..、 不開放#罗湖# 口岸及高鐵……」  香港,"|0|0|0|1|0|
",520441
辉瑞公司的新冠药物帕罗韦德（Paxlovid）帕罗韦德并不能算作特效药或者神药，它并不能杀死病毒，其原理是阻止病毒的复制。对于那些55岁以上的老人或者重症患者，帕罗韦德效果较好，副作用很小，康复时间快。但对于大多数一般风险的新冠患者来说，使用球蛋白就可以了，不是所有人都合适使用的。大半夜帮助一位深圳的朋友，祝家人早日康复#身体健康##新冠肺炎##家人# 香港,"|0|0|0|0|0|
",303202
不知不觉来香港快五个月了 感觉时间过得真的很快 偶然刷到八月十四号早上在天河机场拍的照片 还记得那天的天气 所看到的东西和所有的感受 早上和妈妈起的很早 车从小区出来的时候太阳刚升起来 日光透过我们家车前玻璃 心情复杂 夹杂着对未来的期待也有对全新环境的忐忑不安对父母的不舍朋友的别离 还记得后来妈妈送我过安检的时候 看着我换登机牌 看着我进去 妈妈要哭的眼睛 不断朝我挥手说照顾好自己 然后我就一个人坐飞机到了深圳 下车以后一脸茫然叫到了车终于和阿阔会面了 刚认识的时候有点局促 拼命找话题 那个时候已经一年多没有社交活动了 下午到酒店的时候还感觉和做梦一样 陌生的环境 陌生的语言 陌生的人 尤其是第二天早上醒来的时候 恍惚间以为自己在家里现在回想起那一天 非常奇妙 无法用好或者坏来形容 甚至有些怀念那个时候的感受和心情 因为这是以后我无法再能体会到的 当下我不得不感悟 每一天都值得被铭记每一天都值得我们用心感受 因为我们所经历的今天以后将会是我们再也回不去的昨天,"|0|0|0|0|0|
",304076
香港海关于上月27日至本月1日，分别于深圳湾、文锦渡和落马洲管制站，截获四辆出境及一辆入境货车。在车上检获一批走私药物和防疫物资，包括中成药、药剂制品、快测包和退热贴等，货品数量超过3900件。#真实的香港[超话]#  ,"|0|0|0|1|0|
",519532
中港争取下周日恢复免检疫通关，据悉港府最快今日公布通关安排，有运输业界指，通关初期“北上南下”每日各设最多5万个配额，部分铁路口岸及直通巴陆路口岸均会重开，包括东铁綫落马洲支綫口岸及文锦渡口岸，港府亦倾向重开广深港高铁部分路线，但仍待中央拍板决定，而罗湖口岸则维持关闭。,"|0|0|0|1|0|
",520425
建好了3年的莲塘口岸 附近仍然啥都没有？关口商场死城一样!#深圳[超话]# #VLOG[超话]# #今天香港通关了吗# #深圳·莲塘口岸[地点]# #莲塘/香园围口岸即将启用# #深圳·深圳罗湖口岸[地点]# http://t.cn/A6KkgszV ,"|0|0|0|1|1|
",519245
田北辰：高铁未能在首日复运是天大的笑话现口岸不能最快到广州。田北辰又说：“似我地急，佢地唔急”他重申，在通关方面港府在安排上已经尽力，以他所知的信息是“有阻滞”#香港解封# ,"|0|0|0|1|0|
",154976
一天五万配额，没有罗湖口岸也没盐田口岸，我晕过去，我到底回不回去 ,"|0|0|0|1|0|
",519308
通关具体内容今天要公布了！8号通关，4号才公布細節，而且通关幅度和规模強差人意！8号内地要向全球开放了，香港早就向世界开放了，现在一国之下還設個4／5万的配额，要設也設在20万才夠吧到底是誰想出来的好東西莫名其妙！#香港#,"|0|0|0|1|0|
",519364
消息指，由于西九高铁站、罗湖关口因技术问题，初期暂时无法开放，港府目前将首阶段通关的重心，放在福田、深圳湾及文锦渡上。方案仍有待最终敲定，今日（1月4日）不会公布。#香港解封# ,"|0|0|0|1|0|
",155078
田北辰认为通关初期配额足够，但批评不能通高铁，令市民无法直接到广州探亲。又说不能接受罗湖口岸未能使用。 ,"|0|0|0|1|0|
",520551
刚刚师姐说，有人去跟老板争取假期了[doge]可能15号就可以走了，初三回来，有差不多快10天假期[doge]有的人因为太开心所以已经开始看机票了[doge]到深圳给老妈打电话让她去机场接我吧[doge]不坐高铁了，迫不及待[doge],"|0|0|0|0|0|
",303210
[ 消息：通关初期只开放部分口岸，名额约 5 万个，并需要网上取筹 ]香港与内地通关在即。有消息指，首阶段通关会开放的口岸有福田、深圳湾及文锦渡，配额分别有 3.5 万、1 万及 5 千个，过境人士需要事先网上取筹，方案正待中央审批。此外，西九高铁站、罗湖关口因技术问题，初期暂时无法开放。,"|0|0|0|1|0|
",519092
香港最新通关消息！高铁分三阶段通车，首阶段只停这6站#香港准备通关##今天香港通关了吗##香港旅行##香港好去处##香港[超话]# 香港 ,"|0|0|0|1|0|
",154903
单挑带娃坐飞机，平安抵达深圳，吃个肯德基定定心心去 深圳·深圳宝安机场 ,"|0|0|0|0|0|
",300722
新界北立法会议员张欣宇今日表示，通关迫在眉睫，促政府尽快澄清通关细节，让市民及早做好预算，并正视可能的黄及水货问题。 ,"|0|0|0|1|0|
",519018
預計有100萬港人返鄉下，每天5萬配額不夠用啊[允悲] 香港·香港交易所 ,"|0|1|0|1|0|
",519437
#辉瑞新冠特效药网售放开# 终于到手了，#辉瑞# 一药难求啊！ 得多备一些给更需要的人，需要的朋友也可以lx我 #新冠[超话]# 深圳·深圳宝安机场 ,"|0|0|0|0|0|
",298257
#新冠[超话]# 辉瑞特效药paxlovid 一盒（30颗5版6粒），7日可康复，没有后遗症，数量有限，需要的朋友lx我（开玩笑者勿扰）深圳·深圳宝安机场 ,"|0|0|0|0|0|
",299151
有人在香港入境健康申报表里发现了一些线索[并不简单][并不简单]#香港解封#,"|0|0|0|1|0|
",154918
#辉瑞新冠特效药paxlovid网售放开##辉瑞#  一药难求啊！药物消耗量大，好难买到，需要的朋友也可以lx我 #疫情# 深圳·深圳宝安机场 ,"|0|0|0|0|0|
",299598
香港和内地通关方案初定：陆地交通中，第一步开放的是【落马洲口岸】（也就是深圳的福田口岸），每天南下、北上名额各5万个。坐飞机到港则没有配额限制。图1是朋友在深圳出入境拍到的人山人海办证画面。三年的封闭生活画上句号，是时候带着孩子和家人去外面的世界看看了[耶]#香港生活#,"|0|1|0|1|0|
",520376
大要注意那些口岸过关，不要走错路！大家都要留意名额！中港争取下周日恢复免检疫通关，但通关配额及口岸等细节仍然欠奉，市民无所适从，设通关配额亦难应付需求。据悉，港府最快今日公布通关安排；有运输业界指，通关初期「北上南下」每日各设最多5万个配额，部分铁路口岸及直通巴陆路口岸均会重开，包括东铁线落马洲支线口岸及文锦渡口岸，港府亦倾向重开广深港高铁部分路线，但仍待中央拍板决定；而罗湖口岸则维持关闭。议员批评通关若不重开高铁，仅开放落马洲支线一个铁路过境口岸，难以应付庞大的出行需求，亦担心已转用较少车卡列车的东铁线会不胜负荷。新冠疫情持续3年，本港除机场有直航航班往来内地外，仅有两个陆路口岸维持运作，其中港珠澳大桥口岸于过去3日录得约5，000人次出入境；深圳湾每日则录得逾3，000人次。中港澳直通巴士联会秘书长陈宗彝表示，中港两地同意通关初期重开东铁线落马洲支线管制站，以及文锦渡口岸，而南下及北上的每日名额各有3万至5万个，实际数量仍视乎两地疫情变化再决定，当中深圳湾口岸会占一万个名额，业界已安排直通巴士验车，相信届时有超过100辆巴士投入服务，运力足以应付需求。至于罗湖管制站及其他边境口岸，则需视乎通关首星期情况再作考虑。另外，据悉港府倾向通关初期重开广深港高铁香港段部分路线，政界亦曾流传首阶段高铁只提供短途列车前往深圳、广州。不过，重开高铁仍需中央拍板，而港铁昨日未有如期安排高铁试车，但香港西九龙站内售票柜位有职员当值，车务资讯板亦显示出班次等资讯。昨有市民专程到车站「扑飞，但最终失望而回。#通关##名额##口岸##文锦渡口岸##港珠澳大桥口岸##深圳·深圳湾口岸[地点]##香港·落马洲站(东铁线)[地点]#,"|0|0|0|1|0|
",303253
[赞]其實也沒回來多久，時間剛剛好，沒想到工作第一年就通關了！[2023]開心心。我就是幸運美麗港島妹妹！[心][报税] ,"|0|0|0|1|0|
",305365
香港与内地最快1月8日有序全面通关。阔别三年，从福田口岸去香港有哪些新变化？1月4日，大公报记者在福田口岸看到，2楼入境旅检大厅新增了一排海关健康申报闸机，共有十台。从地铁4号线福田口岸站2楼出站后，必须要通过这些闸机，才能搭乘扶手电梯进入口岸3楼的出境旅检大厅，现场有工作人员正在进行设备最后的调试。通关后，所有旅客出境前均需进行海关健康申报，届时将会有一个专门的小程序，旅客凭二维码一扫就可以通过，非常便捷。#香港解封#,"|0|0|0|1|0|
",519072
离回家更进一步[憧憬]有一天竟然连原价机票都要抢[泪],"|0|0|0|1|0|
",304617
第一个阶段1月8日 通关 六万香港人进内地其中五万人陆路口岸其中一万人海空桥七个出入境口岸开放 海空大桥有票就可出发，其余设人数安排，北上南下各5万，两地经网上预约，香港北上内地为例5万(不计算在香港的内地人返回内地)，南下措施一致。,"|0|0|0|1|0|
",520480
陆路口岸将会恢复正常通关时间，两地政府将会推出网上预约系统，需事先预约时段及口岸，今天稍后推出细节。深圳湾口岸1万人、落马洲3.5万人、文锦渡5千人。在内地的香港人回香港，不需要预约。从内地去香港要48小时核酸检测。 ,"|0|1|0|1|0|
",304658
我在持續關注#香港通關# 香港 ,"|0|0|0|1|0|
",519263
从内地来香港，必须持有48小时核酸证明，可以纸本，可以截图。加上在深圳市政府指定的网站预约，方可进入香港。7个口岸将会恢复疫情前正常通关时间，除了机场维持24小时，港澳客运，中港客运，及港珠澳大桥都会24小时其他口岸开放时间：深圳湾：早上6时半至凌晨0时文锦渡：早上7时至晚上10时落马洲支线/ 福田口岸：早上6时半至10时半 #真实的香港[超话]# ,"|0|0|0|1|0|
",304833
最后一句，在港内地人回内地，在内地港人回港，不算在每日5万人之内。 ,"|0|0|0|1|0|
",305356
[汗]是内地港人回港及在港陆人回内地不受限制好吗，这理解能力做什么蓝v，乱带词条误导群众[汗]幸亏我去看了一下内容,"|0|0|0|1|0|
",520619
1月8日起，從香港北上內地需要知道的事項：——持有48小時核酸檢測陰性證明（紙質或電子版），入境內地后不需要再做核酸檢測；全港現有85個核酸檢測點，每天可以做10萬核酸檢測樣本，費用自理，每次收費不超過150元，24小時內可提供核酸檢測結果證明；85個核酸檢測點的名單在政府網站公佈，需事先預約——香港居民北上內地需要事先網上預約，每日限6萬人；5萬人可經深圳灣、文錦渡和落馬洲口岸前往內地，1萬人可經港澳碼頭、中港碼頭、機場和港珠澳大橋北上；——內地居民赴香港需要事先在網上預約，每日限6萬人；——香港居民從內地回香港不需要預約，不受配額限制；——從陸路口岸進入香港或內地的私家車，需要事先在網絡上預約；——率先開放的7個口岸恢復到疫情前的運作時間；——預約系統今天下午（1月5日）下午18:點開通；——春節后，跨境學童可以回港參加面授課程；——高鐵西九龍到廣州南站預計不遲于1月15日恢復開通。,"|0|0|0|1|0|
",303281
香港通關最新消息:香港政府今日下午正式宣布通關安排: 首步通關安排 1 月 8 日開始，每日最多 6 萬港人可從不同口岸北上；其中港澳碼頭、中港碼頭、機場、港珠澳大橋 4 個口岸，可容納每日最多 1 萬港人北上；深圳灣、文錦渡、落馬洲支線 3 個陸路口岸，可容納每日最多 5 萬港人北上。使用深圳灣、文錦渡、落馬洲支線北上的港人，需要透過網上系統預約指定口岸及時段過關，於出境時出示，預約網站今日稍後推出。為了方便在內地的港人南下，以及在香港的內地人北上，這批人士不受通關人數限制。港人北上之後，將不需要再檢疫。,"|0|0|0|1|0|
",304392
呜呜呜我想回家  我能回家了！！[泪][泪][泪] ,"|0|0|0|0|0|
",303297
行政长官李家超今日(5日)下午在政府总部举行记者会宣布，1月8日起与内地通关，单向名额约6万人。其中5万个名额于3个陆路口岸，即落马洲支线、深圳湾及文锦渡，分别有3.5万个、1万个及5千个名额；另外1万个名额于机场、港澳码头、港珠澳大桥等4个口岸。3个陆路口岸通关名额须网上预约；北上人士须成功预约指定日期、时段、口岸，才可过关；而港人从内地返港则毋须预约，即不限人数。,"|0|0|0|1|0|
",305505
#香港通关# 永居南下不约，北上约。探亲/商务/游客南下约，北上不约。那么非永居南不约北上约好复杂。。。 ,"|0|0|0|1|0|
",304321
读书的时候都没那么认真…. ,"|0|0|0|0|0|
",520388
#恢复办理内地居民赴港签注# 内地居民返回内地无需预约，不占用旅游名额香港居民来港也无需预约，也不占用旅游名额since我现在同时持有内地和香港的身份证，指不定后面就可以来去自如了[思考],"|0|0|0|1|0|
",519252
见证历史啊啊！激动落泪！#今天香港通关了吗# ,"|0|0|0|1|0|
",520334
1月8日起实施首阶段免检疫通关，从各口岸北上内地，每日单向限额6万人。口岸方面，将开放7个出入境口岸，分别是深圳湾、文锦渡、落马洲支线口岸、港澳码头、中港码头、机场和港珠澳大桥。而高铁和罗湖口岸则暂不开放。深圳湾、文锦渡及落马洲支线口岸，北上及南下每日总人数安排各5万人，两地人士需各自经两地网上去预约。另外，为方便及保障在内地港人回港，及在港内地人士返内地，两地政府同意这两类人士不计算入5万名配额中。港澳码头、中港码头、机场和港珠澳大桥，按运力计算，料每日单向运力可有约1万人北上，即只要有机票、船票、车票都可直接去，没其他限制。#通关#,"|0|0|0|1|0|
",305335
香港內地1/8逐步全面通關:#香港生活 #香港交友 #港漂 #香港通关 #香港回内地,"|0|0|0|1|0|
",179003
【1月8日真的通关了！ 高Sir又可以北上了】 行政长官李家超今日（5日）下午见记者，交代通关事宜。 李家超表示，本周日（8日）与内地首阶段通关，每日最多可以有6万个港人从海陆空不同口岸通关前往内地。  5万个名额于3个陆路口岸，另外1万个名额于机场、港澳码头、港珠澳大桥等4个口岸，3个陆路口岸通关名额须网上预约。 港人北上安排详情︰ 名额︰ 每日共60000人（码头、机场、港珠澳大桥︰10000；陆路口岸：50000） 毋须预约： 港澳码头、中港码头、机场、港珠澳大桥。 市民只需成功购买车票、船票或机票便可按时返回内地。 需要预约（预约平台1月5日晚上6时推出）： 深圳湾每日10000人、文锦渡每日5000人、落马洲支线每日3.5万人 防疫要求︰ 往返两地人士需在出发前48小时进行核酸检测，结果阴性才可过关。 跨境学童： 春节后回复跨境学童来港接受面授课堂，学童日后过关前毋须预约。,"|0|0|0|1|0|
",155003
感动哭了。2020年的时候还整天想着什么时候可以回到15分钟就可以吃到费大厨的日子，慢慢已经没了念想。 ,"|0|0|0|0|0|
",519615
1月8日出台的通关政策：1.深圳湾、文锦渡、落马洲，想要经这三个口岸，就要预约！香港/内地出入各5万（南下的香港居民&北上的内地居民无需预约）预约的网站在6点开启，可预约（1月8日至3月4日）。2.坐飞机，买车票（港珠澳大桥），坐船（港澳码头/中港城/广东省）只需有票即可，无需在预约名单内；高铁开通等通知，最迟在1月15日前恢复。3.进入香港必须做48小时核酸，港府建议入境后的五天内自测抗原；短暂来港的非香港居民是不可免费接种疫苗，最快一月上旬可到私营机构自费打针。#真实的香港[超话]#,"|0|0|0|1|0|
",519593
啊哈 香港去深圳攻略搞定 只要抢到初一配额就行  现在搞深圳返香港攻略[泪]我真的想看无名 当天看完立刻回港[赢牛奶]但我妈其实不想我去[悲伤]我也有点害怕疫情  还有为什么不开罗湖口岸啊 自己去落马洲我不识路啊[泪],"|0|0|0|1|0|
",519123
通关后第一件事想去深圳找个审美在线技术在线的tony ,"|0|0|0|1|0|
",520716
通关1月8日开始 ,"|0|0|0|1|0|
",519646
原訂1/6返台休假，因為臨時公布的48小時通關核酸限制，今天早上緊急安排，半小時準備，出發經香港回台灣。一路順利，在機場特別點了福建滷麵，這是三年前的12月底，在疫情開始前最後一次走香港機場，也是吃這麵。機場的咖啡和麵包特別貴，但因為某人提前寄了手上所有的港幣給我用，我就奢侈一次。一切即將恢復常態，今年希望能安排台灣家人過來大陸，除了深圳，也去成都家。大妹和小妹都知道@一虎童一 你了，到時候來了要好好接待啊[嘻嘻],"|0|0|0|1|0|
",305110
以我们对香港IT系统的了解，六点网站必崩[允悲] ,"|0|0|0|0|0|
",519060
西九龙，你最好是不迟于15号开！！！！一天天的mimimomo[怒][怒][怒][怒] ,"|0|0|0|1|0|
",519148
从回去就要开始抢名额[二哈]看公演要抢票，回内地要抢名额[微笑] ,"|0|0|0|1|0|
",520549
#香港通关# #有序恢复内地赴港澳旅游# #香港[超话]# 【2023香港第一阶段通关信息要点】①通关配额单向往内地60000人（深圳湾口岸1万人、文锦渡5000人、落马洲支线／福田口岸3.5万人；另外「小客车」每日单向1000人）；详见图2。②香港人回香港不用预约，内地人回内地不用预约。③高铁不迟于1月15日重启，新增广州东站，恢复往返福田、深圳北站列车。④2.7万跨境学童春节后恢复来港面授课不计入通关名额。⑤预约系统今傍晚6时推出，届时将在微博更新，敬请留意。,"|0|0|0|1|0|
",304809
今天第一次体验了新开的沙中线，这意味着以后可以从罗湖坐地铁直达港岛，不用在九龙塘或者红磡转车了。会展中心站还陈列了挖出来的炸弹，亦可赛艇。#微博vc计划##香港前往内地和澳门无须在口岸核酸检测##香港与内地逐步实现全面通关# ,"|0|0|0|1|0|
",519491
nice！！可以来回看show了 ,"|0|0|0|0|0|
",305361
通关绕口令来了：18号通关港人回港不用预约港人北上要预约非港人来港要预约非港人北上不用预约#在香港等你[鼓掌] 香港·維多利亞港,"|0|0|0|1|0|
",519020
大家过关要注意了终于通关了，看见很多香港人网上预约了，终于可以一家团聚，过节了！政府公布，周日起实施首阶段免检疫通关返内地，从各口岸北上，每日单向限额六万人。当中深圳湾、文锦渡及落马洲支线口岸，占当中五万人。其余一万为港澳码头，中港码头、机场和港珠澳大桥 各口岸配额为，深圳湾一万人、文锦渡五千人、落马洲为三万五千人 在港内地人北上不占限额，而香港居民从内地回港亦不限人数 市民须网上预约指定口岸及时段过关，于出境时出示，预约网站今日稍后推出。#通关# #香港回内地# #内地来港#,"|0|0|0|1|0|
",304367
通关啦通关啦[打call][打call][打call][打call]欢迎大家来香港玩哦[嘻嘻][嘻嘻][嘻嘻]#今天香港通关了吗##深圳湾口岸##港珠澳大桥##香港##香港旅游#,"|0|0|0|1|0|
",304674
回家路线1 这是最不折腾的就是要抢票 一等座应该会好抢2 没抢到高铁的备选就是飞合肥 老余来接我 3 15号才放票回了郑州还得回信阳还不知道能不能抢到[苦涩],"|0|0|0|0|0|
",564780
【♀1/8首階段有序通關｜海陸空每日名額六萬】大家期待已久的通關日子定咗喇，行政長官李家超已宣布相關細節重點節錄：6萬個北上單向名額落馬洲支線 – 3.5萬個（*需網上預約）深圳灣 – 1萬個（*需網上預約）文錦渡 – 5千個（*需網上預約）機場、港澳碼頭、港珠澳大橋、尖沙咀 – 合共1萬個 （*無需網上預約，有票即可走）請注意：1月5日晚上6時將會推出預約網上平台，每人每次最多預約4個名額 網上預約： ,"|0|0|0|1|0|
",304612
#香港通关##有序恢复内地赴港澳旅游##香港[超话]# 【2023香港第一阶段通关信息要点】①通关配额单向往内地60000人（深圳湾口岸1万人、文锦渡5000人、落马洲支线／福田口岸3.5万人；另外「小客车」每日单向1000人）；详见图2。②香港人回香港不用预约，内地人回内地不用预约。③高铁不迟于1月15日重启，新增广州东站，恢复往返福田、深圳北站列车。④2.7万跨境学童春节后恢复来港面授课不计入通关名额。⑤预约系统今傍晚6时推出，届时将在微博更新，敬请留意。⑥海、空及港珠澳大桥不设配额，只要持有相关车票、船票或机票即可。,"|0|0|0|1|0|
",154951
深圳口岸发布通知：来深方面，由香港方面安排预约并进行核验（内地居民入境深圳无需预约）；赴港方面，由深圳方面安排预约并进行核验（香港居民返港无需预约）。 ,"|0|0|0|1|0|
",303237
等来了通关等不来你那就各自走各自的路,"|0|0|0|1|0|
",303522
【适合香港居民】从香港返回深圳的预约网站： #真实的香港[超话]#,"|0|0|0|0|0|
",520909
回内地记得要预约呀！北上配额网上预约系统傍晚6时起推出，香港居民及非内地居民可预约经三个陆路口岸及港珠澳大桥出境 市民可经网上预约系统，以先到先得方式，预约经深圳湾、落马洲支线及文锦渡客运口岸，以及用小客车经港珠澳大桥返回内地 首阶段开放周日，至三月四日的预约时段。而由本月十五日起，每周日早上九时，将提供多一周的预约配额 市民可经「香港政府一站通」进入系统，最多可为三名同行人士预约，填写身份证号码等个人资料，及电话号码。市民需列印或储存成功预约的页面，在过关时出示。#香港回内地# #预约# #香港通关预约系统今天下午6时上线# #48小时核酸#,"|0|0|0|1|0|
",519054
#mood,"|0|0|0|0|0|
",304701
香港政府通關最新消息:香港政府今日下午正式宣布通關安排: 首步通關安排 1 月 8 日開始，每日最多 6 萬港人可從不同口岸北上；其中港澳碼頭、中港碼頭、機場、港珠澳大橋 4 個口岸，可容納每日最多 1 萬港人北上；深圳灣、文錦渡、落馬洲支線 3 個陸路口岸，可容納每日最多 5 萬港人北上。使用深圳灣、文錦渡、落馬洲支線北上的港人，需要透過網上系統預約指定口岸及時段過關，於出境時出示，預約網站今日稍後推出。為了方便在內地的港人南下，以及在香港的內地人北上，這批人士不受通關人數限制。港人北上之後，將不需要再檢疫。,"|0|0|0|1|0|
",519073
无需预约（喜） ,"|0|0|0|0|0|
",518996
大家要注意，不要去错地方呀！首阶段通关不包括高铁香港段，运输及物流局局长林世雄解释，需时确保运作安全及稳妥，将不迟于1月15日恢复服务 运输及物流局局长林世雄表示:「希望大家明白高铁香港段已停止提供客运服务近三年，需要一些时间为恢复服务作准备，包括演练及试运等，由于涉及车长众多，单是香港车长有约40人，加上现时内地段线路如常行车，我们要在行车中空档进行试运，计及所需时间，高铁服务我们预计不迟于1月15日恢复运作。除了恢复西九龙站至福田、深圳北、广州南的高铁服务外，往来西九龙站至广州东的高铁服务也会在高铁恢复服务当日开通」#香港# #通关# #香港高铁##香港西九龙高铁站# #香港回内地# #内地来港# #香港内地高铁不迟于1月15日恢复# #香港通关预约系统今天下午6时上线# #香港公布与内地通关首阶段安排# #1月8日香港与内地首阶段通关# #香港与内地过关须持48小时核酸阴性证明# #香港与内地将恢复至7个口岸开放# #1月15日前恢复香港往返内地高铁服务#,"|0|0|0|1|0|
",519166
現在很多人關心怎麼從香港回內地 但是從內地來香港的是不是需要預約？有沒有時間限制？有沒有清楚詳細的？有沒有預約網址？求解答！ #内地去香港 #內地去香港預約,"|0|0|0|1|0|
",179036
這是有多少香港人在登記啊預約網站癱瘓了！#真实的香港[超话]#,"|0|0|0|1|0|
